tier,name,city,glow_score,review_count
1,"Minars Dermatology - Dermatologist Hollywood",Davie,5,2904
1,"Advanced Aesthetics",Las Vegas,5,2427
1,"Advanced Aesthetics",Summerlin,5,2427
1,"LUX MedSpa Brickell",Miami,5,2179
1,"Novuskin Med Spa",Las Vegas,5,2171
1,"Urban Medspa & Weight Loss Center",Charlotte,5,1836
1,"Zemits A-Esthetic - Spa Aesthetic Equipment",Davie,5,1714
1,"Dermatology Experts Tamarac - Angelo Ayar, MD",Tamarac,5,1619
1,"Columbus Aesthetic & Plastic Surgery - Upper Arlington",Columbus,5,1576
1,"Eye Candy Laser & Wellness",Lake Worth,5,1525
1,"4Ever Young Med Spa & Wellness Center - Boca Raton",Boca Raton,5,1525
1,"NakedMD Med Spa Newport Beach",Newport Beach,5,1495
1,"SkinDC",Arlington,5,1465
1,"Natural Body Spa + Med Spa | Morningside",Atlanta,5,1451
1,"Advanced Aesthetics - Henderson",Henderson,5,1409
1,"Dr. Deborah Longwill, DO, FAOCD",Miami,5,1393
1,"The Luxe Room - South Denver",Denver,5,1359
1,"Miami Center for Dermatology",Miami,5,1340
1,"Massage Envy",Estero,5,1266
1,"Liquivida Wellness Center | Lauderdale Beach",Fort Lauderdale,5,1255
1,"Refresh Palm Beach Medical Aesthetics",Jupiter,5,1238
1,"Peach Skin & Laser",Tempe,5,1233
1,"Look Lab Med Spa",Phoenix,5,1215
1,"Stadia Medical Spa",San Antonio,5,1199
1,"New Face MD Surgery Centers",North Miami Beach,5,1175
1,"U Med Spa",Plano,5,1156
4,"Margaritaville at Sea Paradise",Riviera Beach,3,1141
1,"Pediatric & General Dentistry of Palm Beach, PA",Lake Worth,5,1131
1,"Jiva Med Spa Columbus",Columbus,5,1119
1,"Massage Envy",North Miami,5,1087
1,"Suddenly Slimmer Med Spa",Phoenix,5,1062
1,"Nova Aesthetics",San Antonio,5,1052
1,"Dolce Medical Spa - Miami",Miami,5,1051
1,"Esthetica Medspa San Antonio",San Antonio,5,1039
1,"BioDesign Men's Clinic of Tampa",Tampa,5,1033
1,"Refresh Tampa Medical Aesthetics (Formerly Ideal Image)",Tampa,74,1033
1,"BioDesign Men's Clinic of Tampa",Tampa,76,1033
1,"4Ever Young Med Spa & Wellness Center - Atlanta Midtown",Atlanta,5,1010
1,"North Tampa Spine & Joint Center",Tampa,74,997
1,"LaVida MedSpa – Chandler",Chandler,5,997
1,"Greater Miami Skin & Laser Center",Miami Beach,5,979
1,"NakedMD Med Spa Scottsdale",Scottsdale,5,969
1,"Refresh - Aesthetics & Wellness",Wellington,5,968
1,"Lifted Aesthetics Charlotte",Charlotte,5,934
1,"Skin Philosophy",Long Island City,5,922
1,"Parkland Dermatology and Cosmetic Surgery",Deerfield Beach,5,900
1,"Riverchase Dermatology - Estero",Estero,5,873
1,"Moksha Aesthetics",Bethesda,5,873
1,"PurA Medical Aesthetics",Houston,5,856
1,"UPKEEP Med Spa",Dallas,5,850
